event_id,onset,end,detected,first_detection,detection_delay_minutes,scorable,channel_interval_coverage,dominant_channel_at_detection,dominant_channel_annotated
id_116,2007-04-14T08:14:16.035000+00:00,2007-04-20T07:02:25.035000+00:00,True,2007-04-14T08:15:00+00:00,0.73275,True,0.4078655619092076,,False
id_118,2007-05-22T05:30:06.120000+00:00,2007-05-22T05:30:06.120000+00:00,False,,,True,1.0,,
id_121,2007-09-25T22:59:09.099000+00:00,2007-09-25T22:59:09.099000+00:00,False,,,True,1.0,,
id_122,2007-09-29T11:58:42.099000+00:00,2007-09-29T11:58:55.011000+00:00,False,,,True,1.0,,
id_124,2007-10-26T18:59:42.093000+00:00,2007-10-26T18:59:55.008000+00:00,False,,,False,0.0,,
id_129,2008-07-24T21:43:18.057000+00:00,2008-07-24T21:43:24.969000+00:00,False,,,True,1.0,,
id_130,2008-08-16T09:05:54.051000+00:00,2008-08-16T09:05:54.966000+00:00,True,2008-08-16T09:06:00+00:00,0.09915,True,1.0,,False
id_132,2009-01-23T19:26:24.942000+00:00,2009-01-23T19:26:27.030000+00:00,False,,,True,1.0,,
id_134,2009-05-25T13:15:57.924000+00:00,2009-06-22T22:14:39.921000+00:00,False,,,True,4.8449612403100775e-05,,
id_138,2009-10-13T06:40:09.903000+00:00,2009-10-13T21:33:09.903000+00:00,False,,,True,1.0,,
id_140,2010-03-22T01:06:59.967000+00:00,2010-03-22T01:07:09.879000+00:00,True,2010-03-22T01:07:00+00:00,0.00055,True,1.0,,False
id_142,2010-04-22T01:18:53.964000+00:00,2010-04-22T01:18:53.964000+00:00,False,,,True,1.0,,
id_145,2010-05-19T00:47:09.873000+00:00,2010-05-21T05:17:27.870000+00:00,True,2010-05-19T00:49:00+00:00,1.83545,True,1.0,,False
id_149,2010-09-07T02:23:09.855000+00:00,2010-09-07T02:23:11.943000+00:00,False,,,True,1.0,,
id_150,2010-10-26T17:25:39.846000+00:00,2010-10-26T17:25:44.934000+00:00,False,,,True,1.0,,
id_153,2011-01-28T22:30:09.831000+00:00,2011-01-28T22:35:09.831000+00:00,False,,,True,1.0,,
id_157,2011-04-19T07:09:39.819000+00:00,2011-04-19T07:35:09.819000+00:00,False,,,True,1.0,,
id_160,2011-08-12T19:57:32.889000+00:00,2011-08-12T19:57:39.801000+00:00,False,,,True,1.0,,
id_165,2011-12-28T04:02:39.780000+00:00,2011-12-28T04:02:47.868000+00:00,False,,,True,1.0,,
id_166,2012-01-07T03:42:26.865000+00:00,2012-01-07T03:42:39.777000+00:00,False,,,True,1.0,,
id_172,2012-09-19T13:42:51+00:00,2012-09-19T13:43:09+00:00,True,2012-09-19T13:43:00+00:00,0.15,True,1.0,,False
id_176,2013-02-09T23:44:53.799000+00:00,2013-02-09T23:44:53.799000+00:00,False,,,True,1.0,,
id_177,2013-03-24T16:57:39.705000+00:00,2013-03-24T16:57:41.793000+00:00,True,2013-03-24T16:58:00+00:00,0.33825000000000005,True,1.0,,False
id_18,2008-09-08T13:46:47.460000+00:00,2008-09-08T16:13:24.963000+00:00,False,,,True,0.012429378531073447,,
id_183,2013-09-05T18:32:23.763000+00:00,2013-09-05T18:32:23.763000+00:00,False,,,True,1.0,,
id_184,2013-10-01T01:13:39.672000+00:00,2013-10-01T01:13:44.760000+00:00,False,,,True,1.0,,
id_186,2013-11-11T05:27:23.754000+00:00,2013-11-11T05:27:23.754000+00:00,False,,,True,1.0,,
id_187,2013-11-19T14:57:17.751000+00:00,2013-11-19T14:57:17.751000+00:00,False,,,True,1.0,,
id_42,2012-12-06T18:34:09.723000+00:00,2012-12-06T18:34:09.723000+00:00,False,,,True,1.0,,
