year,channel,original_sample_alert_fraction,replacement_sample_alert_fraction,mean_score_reduction
2000,channel_41,0.0,0.0,0.03339025750756264
2000,channel_42,0.0,0.0,0.058116987347602844
2000,channel_43,0.0,0.0,0.01506144367158413
2000,channel_44,0.0,0.0,0.02206897921860218
2000,channel_45,0.0,0.0,0.02811717614531517
2000,channel_46,0.0,0.0,0.03487709164619446
2000,all_levels,0.0,0.0,0.186263769865036
2000,all_std_and_differences,0.0,0.0,0.005569770000874996
2001,channel_41,0.0099,0.0066,-0.0417458675801754
2001,channel_42,0.0099,0.0092,-0.008866511285305023
2001,channel_43,0.0099,0.00785,0.003490462899208069
2001,channel_44,0.0099,0.0089,0.009120408445596695
2001,channel_45,0.0099,0.0071,-0.038521189242601395
2001,channel_46,0.0099,0.00825,-0.05948414281010628
2001,all_levels,0.0099,0.00015,0.14274896681308746
2001,all_std_and_differences,0.0099,0.01055,-0.025846805423498154
2002,channel_41,0.0,0.00105,-0.06379427760839462
2002,channel_42,0.0,5e-05,-0.024610161781311035
2002,channel_43,0.0,0.0001,-0.013072439469397068
2002,channel_44,0.0,0.0,0.007084213197231293
2002,channel_45,0.0,0.00085,-0.06437897682189941
2002,channel_46,0.0,0.00085,-0.09312131255865097
2002,all_levels,0.0,0.0,0.08671386539936066
2002,all_std_and_differences,0.0,0.0001,-0.028609637171030045
2003,channel_41,0.0,0.00075,-0.05857143551111221
2003,channel_42,0.0,0.0,-0.024784477427601814
2003,channel_43,0.0,5e-05,-0.008209455758333206
2003,channel_44,0.0,0.0,0.006695394869893789
2003,channel_45,0.0,0.0006,-0.06327147036790848
2003,channel_46,0.0,0.0011,-0.08384104073047638
2003,all_levels,0.0,0.0,0.09177304804325104
2003,all_std_and_differences,0.0,0.00015,-0.03094223327934742
2004,channel_41,0.0,0.0017,-0.06861263513565063
2004,channel_42,0.0,5e-05,-0.028972014784812927
2004,channel_43,0.0,5e-05,-0.0025913540739566088
2004,channel_44,0.0,0.0,0.005279894452542067
2004,channel_45,0.0,0.00285,-0.0658959448337555
2004,channel_46,0.0,0.0013,-0.09115876257419586
2004,all_levels,0.0,5e-05,0.11229795217514038
2004,all_std_and_differences,0.0,0.00015,-0.03239315748214722
2005,channel_41,5e-05,0.00265,-0.04191691428422928
2005,channel_42,5e-05,0.0004,-0.028485488146543503
2005,channel_43,5e-05,5e-05,0.002209784695878625
2005,channel_44,5e-05,0.00015,0.015939531847834587
2005,channel_45,5e-05,0.0035,-0.04415678232908249
2005,channel_46,5e-05,0.0039,-0.0851079672574997
2005,all_levels,5e-05,0.0,0.14323008060455322
2005,all_std_and_differences,5e-05,0.0006,-0.039176441729068756
2006,channel_41,0.0,0.0023,-0.03849732130765915
2006,channel_42,0.0,0.0003,-0.02617507055401802
2006,channel_43,0.0,0.00025,0.005151799879968166
2006,channel_44,0.0,5e-05,0.01633434370160103
2006,channel_45,0.0,0.00355,-0.03846806660294533
2006,channel_46,0.0,0.0052,-0.07843853533267975
2006,all_levels,0.0,0.0,0.15162500739097595
2006,all_std_and_differences,0.0,0.0004,-0.04037640243768692
2007,channel_41,0.00055,0.0111,0.018525710329413414
2007,channel_42,0.00055,0.0024,-0.01890663616359234
2007,channel_43,0.00055,0.00125,0.05628291144967079
2007,channel_44,0.00055,0.00085,0.028012320399284363
2007,channel_45,0.00055,0.01755,0.007640046067535877
2007,channel_46,0.00055,0.02125,-0.038171399384737015
2007,all_levels,0.00055,0.0,0.24063760042190552
2007,all_std_and_differences,0.00055,0.00415,-0.04391038045287132
2008,channel_41,0.00395,0.0341,0.09338235855102539
2008,channel_42,0.00395,0.0116,-0.0007081375224515796
2008,channel_43,0.00395,0.0066,0.09632521867752075
2008,channel_44,0.00395,0.004,0.047207415103912354
2008,channel_45,0.00395,0.0358,0.09427579492330551
2008,channel_46,0.00395,0.04785,0.026243682950735092
2008,all_levels,0.00395,0.0,0.3938661515712738
2008,all_std_and_differences,0.00395,0.0151,-0.04387804493308067
2009,channel_41,0.50355,0.23965,0.12645584344863892
2009,channel_42,0.50355,0.4535,0.004303878638893366
2009,channel_43,0.50355,0.3166,0.06098153814673424
2009,channel_44,0.50355,0.43895,0.024396155029535294
2009,channel_45,0.50355,0.2568,0.12586167454719543
2009,channel_46,0.50355,0.3249,0.04443439468741417
2009,all_levels,0.50355,0.0,0.6704943180084229
2009,all_std_and_differences,0.50355,0.52095,-0.02066468633711338
2010,channel_41,0.7984,0.35265,0.18610747158527374
2010,channel_42,0.7984,0.7146,0.007344983052462339
2010,channel_43,0.7984,0.46245,0.05609050765633583
2010,channel_44,0.7984,0.66965,0.013144958764314651
2010,channel_45,0.7984,0.395,0.15548011660575867
2010,channel_46,0.7984,0.48265,0.07174962759017944
2010,all_levels,0.7984,0.0,0.8709207773208618
2010,all_std_and_differences,0.7984,0.83125,-0.0019428712548688054
2011,channel_41,0.91775,0.4062,0.14139680564403534
2011,channel_42,0.91775,0.8172,0.00496967788785696
2011,channel_43,0.91775,0.5931,0.029292505234479904
2011,channel_44,0.91775,0.8002,0.00667502311989665
2011,channel_45,0.91775,0.4338,0.1367299109697342
2011,channel_46,0.91775,0.55935,0.050053875893354416
2011,all_levels,0.91775,0.0,0.8804665207862854
2011,all_std_and_differences,0.91775,0.932,-0.0009720304515212774
2012,channel_41,0.6955,0.32535,0.14937177300453186
2012,channel_42,0.6955,0.62355,0.0069555542431771755
2012,channel_43,0.6955,0.4525,0.06009969487786293
2012,channel_44,0.6955,0.6077,0.01855921372771263
2012,channel_45,0.6955,0.3397,0.1451016068458557
2012,channel_46,0.6955,0.4432,0.05918498709797859
2012,all_levels,0.6955,0.0,0.798073410987854
2012,all_std_and_differences,0.6955,0.7174,-0.009011761285364628
2013,channel_41,0.01455,0.04785,0.12172148376703262
2013,channel_42,0.01455,0.02855,0.012897607870399952
2013,channel_43,0.01455,0.01125,0.12809538841247559
2013,channel_44,0.01455,0.0164,0.03844893351197243
2013,channel_45,0.01455,0.0556,0.12151990085840225
2013,channel_46,0.01455,0.068,0.04614318907260895
2013,all_levels,0.01455,0.0,0.43982040882110596
2013,all_std_and_differences,0.01455,0.03635,-0.03844405710697174
