scenario,seed,hours,onset_hours,duration_hours,noise_scale,cadence_minutes,source,detected_before_failure,ouranos_warning_hours,anomaly_detection_hours,conventional_alert_hours,failure_hours,degradation_start_hours,reference_detectable_hours,lead_time_hours,false_alert_events,healthy_exposure_hours,warning_subsystem,subsystem_correct,tp,fp,tn,fn,precision,recall,true_positive_rate,false_positive_rate
reaction_wheel,1000,240,48.51325771140151,139.24972005541142,1.0119238087950142,5,SIMULATED DATA,True,62.0,55.25,160.5,187.83333333333334,48.583333333333336,58.75,98.5,0,42.583333333333336,ADCS,True,1510,0,511,161,1.0,0.9036505086774387,0.9036505086774387,0.0
battery,1001,240,50.70227828567882,101.02053040832155,0.8844603095968684,5,SIMULATED DATA,True,59.166666666666664,55.083333333333336,136.0,151.75,50.75,58.75,76.83333333333333,0,44.75,BATTERY,True,1111,0,537,101,1.0,0.9166666666666666,0.9166666666666666,0.0
solar,1002,240,45.13970782759478,123.21730694861155,1.136425542680686,5,SIMULATED DATA,True,70.75,45.166666666666664,137.16666666666666,168.41666666666666,45.166666666666664,102.41666666666667,66.41666666666667,0,39.166666666666664,POWER,True,1149,0,470,330,1.0,0.7768762677484787,0.7768762677484787,0.0
reaction_wheel,1003,240,40.5061768384472,116.68587766422344,1.022605697234983,5,SIMULATED DATA,True,52.5,46.0,135.16666666666666,157.25,40.583333333333336,49.166666666666664,82.66666666666667,0,34.583333333333336,ADCS,True,1257,0,415,143,1.0,0.8978571428571429,0.8978571428571429,0.0
battery,1004,240,36.02113086577716,108.45983528829605,0.8623148143843662,5,SIMULATED DATA,True,44.25,40.666666666666664,127.41666666666667,144.5,36.083333333333336,43.833333333333336,83.16666666666667,0,30.083333333333332,BATTERY,True,1203,0,361,98,1.0,0.92467332820907,0.92467332820907,0.0
solar,1005,240,37.97326015362945,160.48653275525925,0.9292778127654967,5,SIMULATED DATA,True,74.41666666666667,43.75,157.41666666666666,198.5,38.0,104.5,83.0,0,32.0,POWER,True,1466,0,384,460,1.0,0.7611630321910696,0.7611630321910696,0.0
reaction_wheel,1006,240,44.086114405747786,139.05570134697757,0.934024084734129,5,SIMULATED DATA,True,56.916666666666664,51.166666666666664,159.0,183.16666666666666,44.166666666666664,53.75,102.08333333333333,0,38.166666666666664,ADCS,True,1508,0,458,160,1.0,0.9040767386091128,0.9040767386091128,0.0
battery,1007,240,37.70939849906126,153.0387224365663,1.0893178308133957,5,SIMULATED DATA,True,49.833333333333336,40.833333333333336,166.5,190.75,37.75,50.083333333333336,116.66666666666667,0,31.75,BATTERY,True,1691,0,381,145,1.0,0.9210239651416122,0.9210239651416122,0.0
solar,1008,240,40.01406597731085,152.84829860237065,0.8978447731464089,5,SIMULATED DATA,True,74.33333333333333,48.0,155.5,192.91666666666666,40.083333333333336,101.16666666666667,81.16666666666667,0,34.083333333333336,POWER,True,1390,0,409,444,1.0,0.7579062159214831,0.7579062159214831,0.0
reaction_wheel,1009,240,37.356011089282546,121.24951319873601,0.8224331579329393,5,SIMULATED DATA,True,49.75,44.5,135.0,158.66666666666666,37.416666666666664,45.083333333333336,85.25,0,31.416666666666668,ADCS,True,1307,0,377,148,1.0,0.8982817869415808,0.8982817869415808,0.0
battery,1010,240,38.27981479107773,134.82737253039483,1.2129545299010573,5,SIMULATED DATA,True,48.75,41.416666666666664,152.0,173.16666666666666,38.333333333333336,50.083333333333336,103.25,0,32.333333333333336,BATTERY,True,1493,0,388,125,1.0,0.9227441285537701,0.9227441285537701,0.0
solar,1011,240,42.81899616841048,136.6160298081107,0.8956700605942954,5,SIMULATED DATA,True,74.16666666666667,50.0,145.91666666666666,179.5,42.833333333333336,96.16666666666667,71.75,0,36.833333333333336,POWER,True,1223,0,442,417,1.0,0.7457317073170732,0.7457317073170732,0.0
reaction_wheel,1012,240,43.351691598495336,150.7420344845695,0.9072963887991541,5,SIMULATED DATA,True,59.583333333333336,51.833333333333336,168.75,194.16666666666666,43.416666666666664,53.583333333333336,109.16666666666667,0,37.416666666666664,ADCS,True,1615,0,449,194,1.0,0.892758430071863,0.892758430071863,0.0
battery,1013,240,55.06782996734851,105.13366565232664,1.1026968160835462,5,SIMULATED DATA,True,63.666666666666664,59.0,143.41666666666666,160.25,55.083333333333336,64.83333333333333,79.75,0,49.083333333333336,BATTERY,True,1159,0,589,103,1.0,0.9183835182250396,0.9183835182250396,0.0
solar,1014,240,46.4525760389472,138.07064984452694,1.204084163143268,5,SIMULATED DATA,True,74.0,47.75,149.75,184.58333333333334,46.5,111.91666666666667,75.75,0,40.5,POWER,True,1279,0,486,378,1.0,0.771876885938443,0.771876885938443,0.0
reaction_wheel,1015,240,44.637670445617395,139.45940885947874,1.0885873039180007,5,SIMULATED DATA,True,60.5,50.75,156.08333333333334,184.16666666666666,44.666666666666664,55.416666666666664,95.58333333333333,0,38.666666666666664,ADCS,True,1484,0,464,190,1.0,0.8864994026284349,0.8864994026284349,0.0
battery,1016,240,41.47179832109245,128.77510942113025,0.9591307792481275,5,SIMULATED DATA,True,51.333333333333336,46.666666666666664,150.5,170.25,41.5,51.416666666666664,99.16666666666667,0,35.5,BATTERY,True,1427,0,426,118,1.0,0.9236245954692557,0.9236245954692557,0.0
solar,1017,240,58.04044210344663,153.38657178619795,1.2376607264346955,5,SIMULATED DATA,True,84.41666666666667,58.083333333333336,173.58333333333334,211.5,58.083333333333336,135.16666666666666,89.16666666666667,0,52.083333333333336,POWER,True,1433,0,625,408,1.0,0.7783813145029875,0.7783813145029875,0.0
reaction_wheel,1018,240,50.25541078052854,129.57233992018206,1.192181249488862,5,SIMULATED DATA,True,63.333333333333336,54.0,154.33333333333334,179.83333333333334,50.333333333333336,60.916666666666664,91.0,0,44.333333333333336,ADCS,True,1398,0,532,156,1.0,0.8996138996138996,0.8996138996138996,0.0
battery,1019,240,41.2062446065582,125.739678113092,1.0100978739128963,5,SIMULATED DATA,True,50.583333333333336,45.916666666666664,147.33333333333334,167.0,41.25,51.416666666666664,96.75,0,35.25,BATTERY,True,1397,0,423,112,1.0,0.9257786613651425,0.9257786613651425,0.0
solar,1020,240,49.88880583190066,118.4388932837331,0.8340617502373928,5,SIMULATED DATA,True,76.91666666666667,54.25,139.91666666666666,168.33333333333334,49.916666666666664,94.08333333333333,63.0,0,43.916666666666664,POWER,True,1064,0,527,357,1.0,0.7487684729064039,0.7487684729064039,0.0
reaction_wheel,1021,240,44.98531542069895,105.25534182695222,1.2461585190387825,5,SIMULATED DATA,True,54.916666666666664,47.333333333333336,129.41666666666666,150.25,45.0,54.0,74.5,0,39.0,ADCS,True,1144,0,468,119,1.0,0.9057798891528107,0.9057798891528107,0.0
battery,1022,240,36.01263949018358,159.69708914365611,1.0654164979007787,5,SIMULATED DATA,True,48.916666666666664,42.833333333333336,171.33333333333334,195.75,36.083333333333336,50.166666666666664,122.41666666666667,0,30.083333333333332,BATTERY,True,1756,0,361,160,1.0,0.9164926931106472,0.9164926931106472,0.0
solar,1023,240,44.13285792020463,158.88341778037397,1.209320878026663,5,SIMULATED DATA,True,75.5,48.333333333333336,164.33333333333334,203.08333333333334,44.166666666666664,120.08333333333333,88.83333333333333,0,38.166666666666664,POWER,True,1486,0,458,421,1.0,0.7792343995804929,0.7792343995804929,0.0
reaction_wheel,1024,240,43.739087258797674,116.79293265149182,0.9666403163667306,5,SIMULATED DATA,True,55.666666666666664,49.083333333333336,140.75,160.58333333333334,43.75,52.083333333333336,85.08333333333333,0,37.75,ADCS,True,1259,0,453,143,1.0,0.8980028530670471,0.8980028530670471,0.0
battery,1025,240,55.70681679846517,140.88548717013933,0.8729652268576655,5,SIMULATED DATA,True,67.66666666666667,61.166666666666664,174.91666666666666,196.66666666666666,55.75,66.41666666666667,107.25,0,49.75,BATTERY,True,1548,0,597,143,1.0,0.9154346540508574,0.9154346540508574,0.0
solar,1026,240,40.09769270170533,138.68262219687585,0.8875565612634209,5,SIMULATED DATA,True,72.66666666666667,45.5,145.41666666666666,178.83333333333334,40.166666666666664,94.75,72.75,0,34.166666666666664,POWER,True,1244,0,410,420,1.0,0.7475961538461539,0.7475961538461539,0.0
reaction_wheel,1027,240,36.67138934666687,136.5394668216763,1.054322927499227,5,SIMULATED DATA,True,51.5,45.0,147.41666666666666,173.25,36.75,47.0,95.91666666666667,0,30.75,ADCS,True,1461,0,369,177,1.0,0.891941391941392,0.891941391941392,0.0
battery,1028,240,55.58810588670454,125.09106883289272,1.103890473063335,5,SIMULATED DATA,True,66.83333333333333,59.833333333333336,160.58333333333334,180.75,55.666666666666664,66.5,93.75,0,49.666666666666664,BATTERY,True,1367,0,596,134,1.0,0.9107261825449701,0.9107261825449701,0.0
solar,1029,240,56.08265607183561,153.4908479517217,0.8221384412749035,5,SIMULATED DATA,True,89.33333333333333,63.25,170.58333333333334,209.58333333333334,56.083333333333336,109.66666666666667,81.25,0,50.083333333333336,POWER,True,1393,0,601,449,1.0,0.756243213897937,0.756243213897937,0.0
reaction_wheel,1030,240,41.684753947166904,101.6371613627594,1.165768608075232,5,SIMULATED DATA,True,50.916666666666664,42.75,121.58333333333333,143.33333333333334,41.75,50.083333333333336,70.66666666666667,0,35.75,ADCS,True,1109,0,429,110,1.0,0.9097621000820345,0.9097621000820345,0.0
battery,1031,240,52.621605947033366,161.7818647661926,1.0979696021027683,5,SIMULATED DATA,True,65.25,60.166666666666664,189.58333333333334,214.41666666666666,52.666666666666664,66.66666666666667,124.33333333333333,0,46.666666666666664,BATTERY,True,1790,0,560,151,1.0,0.9222050489438434,0.9222050489438434,0.0
solar,1032,240,57.06576015107495,115.25487808749031,1.2484212404696107,5,SIMULATED DATA,True,81.25,61.833333333333336,144.33333333333334,172.33333333333334,57.083333333333336,114.41666666666667,63.083333333333336,0,51.083333333333336,POWER,True,1056,0,613,327,1.0,0.7635574837310195,0.7635574837310195,0.0
reaction_wheel,1033,240,55.875315051142074,156.7448378392839,1.2142977870385492,5,SIMULATED DATA,True,70.0,57.416666666666664,183.0,212.66666666666666,55.916666666666664,68.91666666666667,113.0,0,49.916666666666664,ADCS,True,1702,0,599,179,1.0,0.9048378522062732,0.9048378522062732,0.0
battery,1034,240,59.52627216431615,110.47181038957993,0.834909248293896,5,SIMULATED DATA,True,68.0,64.0,153.25,170.0,59.583333333333336,67.75,85.25,0,53.583333333333336,BATTERY,True,1224,0,643,101,1.0,0.9237735849056604,0.9237735849056604,0.0
solar,1035,240,43.67737142106727,124.70869492234193,1.1552283731488648,5,SIMULATED DATA,True,70.91666666666667,49.583333333333336,137.83333333333334,168.41666666666666,43.75,102.5,66.91666666666667,0,37.75,POWER,True,1138,0,453,358,1.0,0.7606951871657754,0.7606951871657754,0.0
reaction_wheel,1036,240,43.05739547708207,152.05993020213202,1.023507768659143,5,SIMULATED DATA,True,59.166666666666664,49.75,165.33333333333334,195.16666666666666,43.083333333333336,54.25,106.16666666666667,0,37.083333333333336,ADCS,True,1632,0,445,193,1.0,0.8942465753424658,0.8942465753424658,0.0
battery,1037,240,43.7360021475504,120.08882759078755,1.0740638244062601,5,SIMULATED DATA,True,53.0,47.833333333333336,145.33333333333334,163.83333333333334,43.75,54.416666666666664,92.33333333333333,0,37.75,BATTERY,True,1330,0,453,111,1.0,0.922970159611381,0.922970159611381,0.0
solar,1038,240,43.84215526346228,106.40387337540697,0.9771777211961126,5,SIMULATED DATA,True,69.33333333333333,48.25,124.33333333333333,150.25,43.916666666666664,88.08333333333333,55.0,0,37.916666666666664,POWER,True,946,0,455,330,1.0,0.7413793103448276,0.7413793103448276,0.0
reaction_wheel,1039,240,56.86374932818094,131.24037113423594,1.0492524879068281,5,SIMULATED DATA,True,70.41666666666667,60.916666666666664,165.0,188.16666666666666,56.916666666666664,66.75,94.58333333333333,0,50.916666666666664,ADCS,True,1413,0,611,162,1.0,0.8971428571428571,0.8971428571428571,0.0
battery,1040,240,55.9245661961153,150.8154153815519,1.1202484193158606,5,SIMULATED DATA,True,68.5,61.5,183.25,206.75,56.0,69.58333333333333,114.75,0,50.0,BATTERY,True,1659,0,600,150,1.0,0.9170812603648425,0.9170812603648425,0.0
solar,1041,240,57.63492959485114,126.10555267567345,1.197734834842252,5,SIMULATED DATA,True,81.16666666666667,59.083333333333336,154.0,183.75,57.666666666666664,117.58333333333333,72.83333333333333,0,51.666666666666664,POWER,True,1176,0,620,337,1.0,0.7772637144745539,0.7772637144745539,0.0
reaction_wheel,1042,240,44.57780356381143,124.19356282461763,1.059201648053879,5,SIMULATED DATA,True,55.5,50.5,147.0,168.83333333333334,44.583333333333336,54.0,91.5,0,38.583333333333336,ADCS,True,1339,0,463,152,1.0,0.898054996646546,0.898054996646546,0.0
battery,1043,240,40.015838310160646,106.6341697491408,0.9791966765216195,5,SIMULATED DATA,True,48.5,44.583333333333336,129.83333333333334,146.66666666666666,40.083333333333336,48.333333333333336,81.33333333333333,0,34.083333333333336,BATTERY,True,1178,0,409,101,1.0,0.9210320562939797,0.9210320562939797,0.0
solar,1044,240,36.29689159952485,155.80039419860302,0.8144270147195934,5,SIMULATED DATA,True,71.25,43.75,154.33333333333334,192.16666666666666,36.333333333333336,93.41666666666667,83.08333333333333,0,30.333333333333332,POWER,True,1411,0,364,459,1.0,0.7545454545454545,0.7545454545454545,0.0
reaction_wheel,1045,240,56.363421950737305,119.65486416251102,1.1237436354389139,5,SIMULATED DATA,True,66.16666666666667,62.416666666666664,154.16666666666666,176.08333333333334,56.416666666666664,65.83333333333333,88.0,0,50.416666666666664,ADCS,True,1319,0,605,117,1.0,0.9185236768802229,0.9185236768802229,0.0
battery,1046,240,38.10991810273268,152.86404971298833,1.094736889310738,5,SIMULATED DATA,True,49.416666666666664,45.25,166.75,191.0,38.166666666666664,51.583333333333336,117.33333333333333,0,32.166666666666664,BATTERY,True,1699,0,386,135,1.0,0.9263904034896401,0.9263904034896401,0.0
solar,1047,240,49.280716639770006,127.6274277196366,0.9481482083397226,5,SIMULATED DATA,True,78.58333333333333,54.333333333333336,145.41666666666666,176.91666666666666,49.333333333333336,98.91666666666667,66.83333333333333,0,43.333333333333336,POWER,True,1134,0,520,397,1.0,0.7406923579359895,0.7406923579359895,0.0
reaction_wheel,1048,240,53.47708358648038,107.70002918443667,1.2236797433805817,5,SIMULATED DATA,True,63.833333333333336,54.916666666666664,141.41666666666666,161.25,53.5,62.583333333333336,77.58333333333333,0,47.5,ADCS,True,1169,0,570,124,1.0,0.9040989945862336,0.9040989945862336,0.0
battery,1049,240,42.19618448954114,135.55585048339262,1.14996826383123,5,SIMULATED DATA,True,52.75,46.916666666666664,156.41666666666666,177.83333333333334,42.25,54.583333333333336,103.66666666666667,0,36.25,BATTERY,True,1501,0,435,126,1.0,0.9225568531038721,0.9225568531038721,0.0
solar,1050,240,47.98868815419958,119.36400124550123,1.2482152546849534,5,SIMULATED DATA,True,69.16666666666667,52.583333333333336,138.75,167.41666666666666,48.0,105.41666666666667,69.58333333333333,0,42.0,POWER,True,1115,0,504,318,1.0,0.7780879274249826,0.7780879274249826,0.0
reaction_wheel,1051,240,54.506004291184134,112.92099951568373,0.8876822865376546,5,SIMULATED DATA,True,66.41666666666667,61.75,145.5,167.5,54.583333333333336,62.166666666666664,79.08333333333333,0,48.583333333333336,ADCS,True,1213,0,583,142,1.0,0.8952029520295203,0.8952029520295203,0.0
battery,1052,240,42.76058922508338,131.3108868063393,0.9873645229111995,5,SIMULATED DATA,True,52.583333333333336,47.5,154.0,174.08333333333334,42.833333333333336,52.916666666666664,101.41666666666667,0,36.833333333333336,BATTERY,True,1451,0,442,124,1.0,0.9212698412698412,0.9212698412698412,0.0
solar,1053,240,56.28732045343739,119.90155229021583,1.172775819891231,5,SIMULATED DATA,True,81.33333333333333,60.25,147.5,176.25,56.333333333333336,111.25,66.16666666666667,0,50.333333333333336,POWER,True,1097,0,604,342,1.0,0.7623349548297429,0.7623349548297429,0.0
reaction_wheel,1054,240,36.632763635128704,152.35367879833714,1.0165212737840548,5,SIMULATED DATA,True,51.666666666666664,45.5,163.41666666666666,189.0,36.666666666666664,47.75,111.75,0,30.666666666666668,ADCS,True,1648,0,368,180,1.0,0.9015317286652079,0.9015317286652079,0.0
battery,1055,240,55.14316650922311,105.85856442920688,1.0625106494468066,5,SIMULATED DATA,True,63.583333333333336,59.666666666666664,144.75,161.08333333333334,55.166666666666664,64.75,81.16666666666667,0,49.166666666666664,BATTERY,True,1170,0,590,101,1.0,0.9205350118017309,0.9205350118017309,0.0
solar,1056,240,58.122771099233056,107.97013136683572,1.0072567641177406,5,SIMULATED DATA,True,82.83333333333333,61.75,139.66666666666666,166.16666666666666,58.166666666666664,104.75,56.833333333333336,0,52.166666666666664,POWER,True,966,0,626,330,1.0,0.7453703703703703,0.7453703703703703,0.0
reaction_wheel,1057,240,45.577941968161,131.8175838409759,0.9470938610778847,5,SIMULATED DATA,True,57.666666666666664,55.333333333333336,155.33333333333334,177.41666666666666,45.583333333333336,54.833333333333336,97.66666666666667,0,39.583333333333336,ADCS,True,1437,0,475,145,1.0,0.9083438685208597,0.9083438685208597,0.0
battery,1058,240,37.04940147507328,110.28351216734762,1.0136941833903876,5,SIMULATED DATA,True,45.666666666666664,41.083333333333336,129.75,147.33333333333334,37.083333333333336,46.75,84.08333333333333,0,31.083333333333332,BATTERY,True,1220,0,373,103,1.0,0.9221466364323507,0.9221466364323507,0.0
solar,1059,240,46.817265996569496,121.19137450048409,0.994795021596456,5,SIMULATED DATA,True,72.33333333333333,52.75,138.66666666666666,168.08333333333334,46.833333333333336,97.5,66.33333333333333,0,40.833333333333336,POWER,True,1089,0,490,366,1.0,0.7484536082474227,0.7484536082474227,0.0
reaction_wheel,1060,240,59.62810311516896,105.64366587763095,1.2162791103647967,5,SIMULATED DATA,True,69.08333333333333,59.833333333333336,145.0,165.33333333333334,59.666666666666664,68.58333333333333,75.91666666666667,0,53.666666666666664,ADCS,True,1155,0,644,113,1.0,0.9108832807570978,0.9108832807570978,0.0
battery,1061,240,50.773141868267686,135.72541371521922,0.9339052306691921,5,SIMULATED DATA,True,62.083333333333336,54.666666666666664,165.08333333333334,186.5,50.833333333333336,61.916666666666664,103.0,0,44.833333333333336,BATTERY,True,1493,0,538,135,1.0,0.9170761670761671,0.9170761670761671,0.0
solar,1062,240,51.677173665817925,111.33055488440233,1.14392918969884,5,SIMULATED DATA,True,75.25,58.083333333333336,135.66666666666666,163.08333333333334,51.75,103.58333333333333,60.416666666666664,0,45.75,POWER,True,1012,0,549,324,1.0,0.7574850299401198,0.7574850299401198,0.0
reaction_wheel,1063,240,59.09256677194038,152.2179550520309,0.9343269532902816,5,SIMULATED DATA,True,74.41666666666667,67.66666666666667,181.08333333333334,211.33333333333334,59.166666666666664,69.58333333333333,106.66666666666667,0,53.166666666666664,ADCS,True,1643,0,638,183,1.0,0.8997809419496167,0.8997809419496167,0.0
battery,1064,240,42.193533399013944,128.04209255185475,0.8641776730472348,5,SIMULATED DATA,True,51.916666666666664,47.25,150.25,170.25,42.25,51.416666666666664,98.33333333333333,0,36.25,BATTERY,True,1420,0,435,116,1.0,0.9244791666666666,0.9244791666666666,0.0
solar,1065,240,59.946977421215344,113.22083655895558,1.1806183495308726,5,SIMULATED DATA,True,84.25,64.83333333333333,145.83333333333334,173.25,60.0,115.83333333333333,61.583333333333336,0,54.0,POWER,True,1038,0,648,321,1.0,0.7637969094922737,0.7637969094922737,0.0
reaction_wheel,1066,240,45.98067789873674,143.0870365616309,0.8120841293670171,5,SIMULATED DATA,True,60.833333333333336,53.333333333333336,161.75,189.08333333333334,46.0,54.916666666666664,100.91666666666667,0,40.0,ADCS,True,1539,0,480,178,1.0,0.8963308095515434,0.8963308095515434,0.0
battery,1067,240,58.117062421794,161.9295779424761,0.802277445747104,5,SIMULATED DATA,True,70.25,63.5,195.16666666666666,220.08333333333334,58.166666666666664,69.5,124.91666666666667,0,52.166666666666664,BATTERY,True,1798,0,626,145,1.0,0.9253731343283582,0.9253731343283582,0.0
solar,1068,240,55.53926124281515,149.89568936809488,0.8757217707766352,5,SIMULATED DATA,True,87.58333333333333,63.25,170.0,205.5,55.583333333333336,112.91666666666667,82.41666666666667,0,49.583333333333336,POWER,True,1354,0,595,445,1.0,0.7526403557531962,0.7526403557531962,0.0
reaction_wheel,1069,240,59.877729096677115,159.9497563142875,0.8712737174778021,5,SIMULATED DATA,True,78.25,67.33333333333333,188.91666666666666,219.83333333333334,59.916666666666664,70.33333333333333,110.66666666666667,0,53.916666666666664,ADCS,True,1699,0,647,220,1.0,0.8853569567483064,0.8853569567483064,0.0
battery,1070,240,41.36956769859629,163.48469246092893,0.8438189564611155,5,SIMULATED DATA,True,53.416666666666664,49.0,179.33333333333334,204.91666666666666,41.416666666666664,53.0,125.91666666666667,0,35.416666666666664,BATTERY,True,1818,0,425,144,1.0,0.926605504587156,0.926605504587156,0.0
solar,1071,240,41.792933004281295,156.77438498716432,0.9046171543373869,5,SIMULATED DATA,True,77.5,49.666666666666664,160.0,198.58333333333334,41.833333333333336,104.25,82.5,0,35.833333333333336,POWER,True,1418,0,430,463,1.0,0.7538543328017012,0.7538543328017012,0.0
reaction_wheel,1072,240,48.45006846889285,144.44439266423177,1.1991962391591229,5,SIMULATED DATA,True,62.916666666666664,55.416666666666664,168.0,192.91666666666666,48.5,60.333333333333336,105.08333333333333,0,42.5,ADCS,True,1560,0,510,173,1.0,0.9001731102135025,0.9001731102135025,0.0
battery,1073,240,43.786609782503284,160.16643401155355,1.0700181361941328,5,SIMULATED DATA,True,56.916666666666664,49.166666666666664,179.08333333333334,204.0,43.833333333333336,57.666666666666664,122.16666666666667,0,37.833333333333336,BATTERY,True,1765,0,454,157,1.0,0.9183142559833507,0.9183142559833507,0.0
solar,1074,240,59.99713654364325,123.12682602527265,1.244422888749814,5,SIMULATED DATA,True,84.25,60.583333333333336,152.08333333333334,183.16666666666666,60.0,119.0,67.83333333333333,0,54.0,POWER,True,1136,0,648,342,1.0,0.7686062246278755,0.7686062246278755,0.0
reaction_wheel,1075,240,54.896464235508795,163.26613074897764,0.8587157557779084,5,SIMULATED DATA,True,71.83333333333333,61.916666666666664,186.08333333333334,218.16666666666666,54.916666666666664,65.5,114.25,0,48.916666666666664,ADCS,True,1756,0,587,203,1.0,0.8963757018887187,0.8963757018887187,0.0
battery,1076,240,44.87364632153982,114.20301762419817,1.17925430982168,5,SIMULATED DATA,True,54.25,46.416666666666664,141.25,159.08333333333334,44.916666666666664,55.916666666666664,87.0,0,38.916666666666664,BATTERY,True,1258,0,467,112,1.0,0.9182481751824818,0.9182481751824818,0.0
solar,1077,240,58.15785904261484,103.59601516005695,0.9041345727917908,5,SIMULATED DATA,True,82.83333333333333,63.25,136.16666666666666,161.83333333333334,58.166666666666664,98.33333333333333,53.333333333333336,0,52.166666666666664,POWER,True,917,0,626,327,1.0,0.7371382636655949,0.7371382636655949,0.0
reaction_wheel,1078,240,57.47107002078634,110.20920099029097,0.8518923098999939,5,SIMULATED DATA,True,67.75,62.0,147.08333333333334,167.75,57.5,64.75,79.33333333333333,0,51.5,ADCS,True,1200,0,618,123,1.0,0.9070294784580499,0.9070294784580499,0.0
